sample_id,fov_id,country,anisotropy,area_fraction,baseline,blob_uri,confidence,contrast_ratio,diffuse_centroid_x,diffuse_centroid_y,diffuse_circularity,diffuse_halo_flag,diffuse_radius,gcs_fetch_s,neighbor_fetch_s,notes,peak,predicted_spot_base,predicted_spot_folded,present_base,present_folded,solidity,spot_truth,tags,time_anisotropy_s,time_diffuse_fov_s,time_initial_test_s
LB-D3-2025-10-24-162727-230918080-D-thin-1-4,8,Liberia,0.0,0.7878,54.2191,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-24/2025-10-24-162727-230918080-(D-thin)-1+.4_Blue/Images/IMG001x008.bmp,0.0,1.9784,0.4753,0.073,0.2427,False,81.2,1.8512,3.2547,diffuse,107.2687,False,False,False,False,0.9217,yes,Overexposed,0.0,0.0021,0.0493
LB-D3-2025-10-25-105806-180951467-D-thin-1-1,270,Liberia,0.1409,0.2266,10.3346,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-25/2025-10-25-105806-180951467-(D-thin)-1+.1_Blue/Images/IMG015x018.bmp,1.0,10.6882,0.1539,0.6648,0.6932,False,102.74,2.4905,0.0,,110.4585,True,True,True,True,0.9943,yes,Overexposed,0.0101,0.0023,0.0473
LB-D3-2025-10-25-150947-250917467-D-thin-3-2,235,Liberia,0.1002,0.336,22.918,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-25/2025-10-25-150947-250917467-(D-thin)-3+.2_Blue/Images/IMG014x001.bmp,0.5135,4.1027,0.7763,0.6976,0.8031,False,116.56,1.9834,0.0,,94.026,True,True,True,True,0.9954,yes,Overexposed,0.0223,0.0027,0.0503
LB-D3-2025-10-27-123159-251123404-D-thin-4-1,48,Liberia,0.076,0.3011,26.8789,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-123159-251123404-(D-thin)-4+.1_Blue/Images/IMG003x012.bmp,1.0,6.6369,0.7533,0.6746,0.7952,False,128.33,2.6114,0.0,,178.3934,True,True,True,True,0.9953,yes,Overexposed,0.0207,0.0041,0.0588
LB-D3-2025-10-27-123159-251123404-D-thin-4-1,49,Liberia,0.23,0.1682,22.0218,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-123159-251123404-(D-thin)-4+.1_Blue/Images/IMG003x013.bmp,1.0,6.8389,0.1341,0.6844,0.6519,False,94.31,1.8573,0.0,,150.6047,True,True,True,True,0.9948,yes,Overexposed,0.0058,0.0025,0.0506
LB-D3-2025-10-27-124239-250916732-D-thin-1-3,301,Liberia,0.0243,0.5026,21.2867,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-124239-250916732-(D-thin)-1+.3_Blue/Images/IMG017x013.bmp,1.0,6.179,0.3854,0.5022,0.8937,False,157.14,1.6959,0.0,,131.5296,True,True,True,True,0.9944,yes,Overexposed,0.052,0.0028,0.0631
LB-D3-2025-10-27-134711-250917368-D-thin-1-3,52,Liberia,0.0516,0.4632,23.5305,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-134711-250917368-(D-thin)-1+.3_Blue/Images/IMG003x016.bmp,1.0,6.1582,0.3404,0.3488,0.8526,False,153.91,1.9126,0.0,,144.9055,True,True,True,True,0.9931,yes,Overexposed,0.0263,0.0025,0.0561
LB-D3-2025-10-27-144635-250918691-D-thin-2-2,57,Liberia,0.4995,0.0552,20.0159,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-144635-250918691-(D-thin)-2+.2_Blue/Images/IMG004x003.bmp,0.0,4.4832,0.256,0.7242,0.8232,False,39.71,1.9867,0.0,artifact,89.735,False,False,False,False,0.9912,no,"Overexposed, Large",0.006,0.0022,0.0534
LB-D3-2025-10-27-144635-250918691-D-thin-2-2,243,Liberia,0.0,0.4967,20.5802,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-144635-250918691-(D-thin)-2+.2_Blue/Images/IMG014x009.bmp,0.0102,2.1397,0.0,0.0,0.0,False,0.0,1.8926,0.0,background,44.0364,False,False,False,False,0.5842,no,"Unfocused, Overexposed",0.0,0.001,0.0611
LB-D3-2025-10-27-145205-250917002-D-thin-3-3,310,Liberia,0.7924,0.0411,9.9406,gs://liberia-2025/rawData4SS/LB25-D3/2025-10-27/2025-10-27-145205-250917002-(D-thin)-3+.3_Blue/Images/IMG018x004.bmp,0.0,13.4033,0.5583,0.0941,0.7481,False,46.32,1.6342,0.0,artifact,133.2365,False,False,False,False,0.9896,no,"Overexposed, Artifact",0.0029,0.0017,0.0527
