idx,n_cells,coverage_fraction,rouleaux_fraction,n_isolated,crenation_fraction,median_area,area_cv
148,3128,0.40056798469387755,0.16336317135549872,407,0.014742014742014743,756.0,0.9462280454313691
149,2707,0.3733809948979592,0.14480975249353528,424,0.009433962264150943,762.0,3.877205719441663
150,3329,0.39811020408163267,0.16341243616701712,442,0.0022624434389140274,743.0,1.0345452220828775
151,3105,0.4126012755102041,0.16296296296296298,416,0.014423076923076924,769.0,1.2873414351925123
152,3015,0.38663852040816327,0.15024875621890546,434,0.03456221198156682,761.0,1.761132186041548
153,2934,0.3412094387755102,0.14485344239945466,444,0.02027027027027027,749.0,0.9578850143004759
154,2504,0.29048966836734696,0.14017571884984026,479,0.006263048016701462,778.0,0.7993258039678984
155,2918,0.32925140306122447,0.1405071967100754,528,0.013257575757575758,743.0,1.3507860969979453
156,2556,0.3543354591836735,0.11737089201877934,486,0.0102880658436214,714.0,4.759134141730652
157,2585,0.2978637755102041,0.11411992263056092,562,0.0,743.0,1.398144699392029
158,2352,0.23736607142857144,0.10459183673469388,513,0.003898635477582846,744.0,0.5344674065737655
159,2532,0.2711113520408163,0.12954186413902052,532,0.0037593984962406013,725.0,1.3245057207879303
160,2256,0.25931301020408165,0.11923758865248227,462,0.0021645021645021645,748.0,1.5430178489988642
161,2607,0.28259438775510204,0.13041810510164942,474,0.004219409282700422,733.0,0.9435564695174127
162,2124,0.2128688775510204,0.10922787193973635,435,0.0,735.0,0.6959612023042383
163,2924,0.6050255102040817,0.15629274965800274,422,0.018957345971563982,645.0,6.047277270592827
164,3105,0.5919002551020408,0.1571658615136876,394,0.030456852791878174,659.0,6.449603797339822
165,3253,0.5669182397959184,0.15677835843836457,391,0.0076726342710997444,681.0,7.589489250703005
166,3264,0.47430854591836735,0.15962009803921567,426,0.023474178403755867,731.0,2.5012525865287745
167,3473,0.44399936224489794,0.1563489778289663,421,0.007125890736342043,734.0,2.4651795398307463
168,3015,0.583965306122449,0.14527363184079603,476,0.01680672268907563,644.0,9.398675878149323
169,3323,0.5612364795918368,0.16009629852542884,458,0.010917030567685589,675.0,6.024822467572552
170,3274,0.5428422193877551,0.14202810018326206,484,0.01859504132231405,668.5,7.717032617065835
