idx,density_label,crowding_label,crenation_flag,coverage_fraction,rouleaux_fraction,crenation_fraction,n_cells,n_isolated
215,very dense,slight rouleaux,flagged,0.7503229591836734,0.11826347305389222,0.05570291777188329,2004,377
216,very dense,rouleaux,flagged,0.682498469387755,0.14531645569620252,0.06489675516224189,1975,339
217,dense,rouleaux,normal,0.5868404336734694,0.14495592556317335,0.04862953138815208,5105,1131
218,very dense,some rouleaux,normal,0.7088322704081632,0.1302725968436155,0.043478260869565216,3485,828
219,dense,some rouleaux,normal,0.5954193877551021,0.13240556660039762,0.020364415862808145,5030,933
220,very dense,slight rouleaux,normal,0.6903179846938775,0.12813211845102507,0.037359900373599,3512,803
221,very dense,some rouleaux,normal,0.6358960459183673,0.13313609467455623,0.03536977491961415,4056,933
222,very dense,slight rouleaux,normal,0.6295332908163266,0.12456063268892795,0.03731343283582089,4552,938
223,very dense,slight rouleaux,normal,0.6664536989795918,0.12233906129776866,0.04550625711035267,3899,879
224,very dense,some rouleaux,normal,0.6720456632653061,0.13569099573614246,0.04353393085787452,3987,781
225,very dense,slight rouleaux,normal,0.6398923469387755,0.12449392712550607,0.04983388704318937,3952,903
226,dense,some rouleaux,normal,0.6216248724489796,0.13044524669073407,0.028795811518324606,4155,764
227,dense,no rouleaux,normal,0.6113441326530612,0.10720973782771535,0.035922330097087375,4272,1030
228,very dense,slight rouleaux,normal,0.6721448979591836,0.11900393184796855,0.023106546854942234,3815,779
229,very dense,no rouleaux,normal,0.6780058673469388,0.1098872950819672,0.024442082890541977,3904,941
230,very dense,no rouleaux,normal,0.7433802295918367,0.11240177656303382,0.019572953736654804,2927,562
231,very dense,no rouleaux,normal,0.6886477040816327,0.10687237026647967,0.03187250996015936,3565,753
232,very dense,slight rouleaux,normal,0.7572734693877551,0.12198685171658144,0.03143418467583497,2738,509
233,dense,no rouleaux,normal,0.6169466836734694,0.10932703659976387,0.031098153547133137,4235,1029
234,very dense,slight rouleaux,normal,0.7334257653061225,0.12012164216928535,0.028125,1973,320
235,slightly dense,some rouleaux,flagged,0.5754585459183673,0.1374015748031496,0.05565529622980251,5080,1114
236,very dense,some rouleaux,normal,0.6644053571428571,0.13918339724791337,0.04854368932038835,4433,1030
237,very dense,rouleaux,normal,0.707440943877551,0.14118303571428573,0.03902439024390244,3584,820
238,very dense,some rouleaux,normal,0.6454873724489796,0.13495469718645683,0.04797441364605544,4194,938
239,dense,rouleaux,normal,0.6091642857142857,0.14373153229210636,0.03890641430073607,4738,951
240,very dense,some rouleaux,flagged,0.6362358418367347,0.13678804855275445,0.05056759545923633,4284,969
241,dense,rouleaux,normal,0.5969195153061224,0.1403612092658029,0.03357531760435572,5094,1102
242,dense,slight rouleaux,normal,0.6193114795918367,0.12736699729486023,0.03398058252427184,4436,1030
243,dense,no rouleaux,normal,0.611623724489796,0.11402329749103943,0.036062378167641324,4464,1026
244,slightly dense,slight rouleaux,normal,0.570139668367347,0.1284927194018103,0.02608695652173913,5082,920
245,slightly dense,slight rouleaux,normal,0.5781119897959184,0.12052302444570778,0.01932367149758454,5277,1035
246,very dense,no rouleaux,normal,0.6409877551020409,0.11486979800438063,0.025341130604288498,4109,1026
247,very dense,slight rouleaux,normal,0.6305283163265306,0.12761227212094264,0.03596287703016241,4498,862
248,very dense,no rouleaux,normal,0.7236566326530612,0.08782435129740519,0.015855039637599093,3006,883
249,very dense,no rouleaux,normal,0.7079358418367347,0.10977118119975263,0.02679658952496955,3234,821
250,very dense,no rouleaux,normal,0.6989579081632653,0.09796149490373726,0.015889830508474576,3532,944
251,very dense,no rouleaux,normal,0.690330612244898,0.09890741805635422,0.036996735582154515,3478,919
252,very dense,no rouleaux,normal,0.6798224489795919,0.107280750137893,0.030716723549488054,3626,879
253,very dense,heavy rouleaux,normal,0.6348043367346938,0.1536063188526294,0.03925845147219193,4811,917
254,slightly dense,heavy rouleaux,flagged,0.5608656887755102,0.1518413597733711,0.05019685039370079,5295,1016
255,dense,rouleaux,flagged,0.5914862244897959,0.14614154338264695,0.06084396467124632,5002,1019
256,slightly dense,some rouleaux,normal,0.5571117346938775,0.1368421052631579,0.0368474923234391,5320,977
257,dense,some rouleaux,normal,0.5930391581632654,0.13508884607150504,0.036585365853658534,4671,902
258,very dense,some rouleaux,normal,0.6439547193877551,0.13776908023483367,0.04030226700251889,2555,397
259,dense,some rouleaux,normal,0.6074274234693877,0.13150609080841638,0.025157232704402517,3612,636
260,dense,slight rouleaux,normal,0.5871795918367347,0.1278324070115434,0.04503464203233257,4678,866
261,slightly dense,slight rouleaux,normal,0.5641452806122449,0.1297336473998913,0.029411764705882353,5519,1020
262,slightly dense,slight rouleaux,normal,0.5569096938775511,0.1280441400304414,0.027579162410623085,5256,979
263,slightly dense,slight rouleaux,normal,0.5848382653061225,0.12188807010555666,0.018901890189018902,5021,1111
264,slightly dense,slight rouleaux,normal,0.5821357142857143,0.12743190661478598,0.01680672268907563,5140,952
265,slightly dense,no rouleaux,normal,0.5572542091836735,0.11269349845201239,0.026747195858498704,4845,1159
266,dense,no rouleaux,normal,0.5964423469387755,0.1137631050635735,0.028601694915254237,4483,944
267,dense,no rouleaux,normal,0.6163230867346938,0.10455227613806903,0.027613412228796843,3998,1014
268,very dense,no rouleaux,normal,0.6705381377551021,0.09404205607476636,0.023092369477911646,3424,996
269,very dense,no rouleaux,normal,0.6592913265306123,0.10505506918949449,0.017653167185877467,3541,963
270,very dense,no rouleaux,normal,0.6448091836734694,0.11215415019762846,0.021251475796930343,4048,847
271,slightly dense,heavy rouleaux,normal,0.5454758928571428,0.1610648918469218,0.04463519313304721,6010,1165
272,dense,some rouleaux,flagged,0.5885956632653061,0.13582799255737027,0.0646186440677966,4837,944
273,very dense,heavy rouleaux,normal,0.6310102040816327,0.15556018325697626,0.0413135593220339,4802,944
274,slightly dense,some rouleaux,normal,0.5761417091836735,0.13616686343959072,0.04343720491029273,5082,1059
275,slightly dense,some rouleaux,normal,0.5821676020408163,0.13848537671896186,0.032467532467532464,5163,1078
276,dense,heavy rouleaux,normal,0.6002543367346939,0.16439909297052155,0.022532188841201718,5292,932
277,dense,rouleaux,normal,0.5943733418367347,0.14253689519895385,0.03316062176165803,5353,965
278,dense,rouleaux,normal,0.6291438775510204,0.14376860910250958,0.036742800397219465,4702,1007
279,slightly dense,rouleaux,normal,0.5843045918367347,0.143008287779933,0.01841620626151013,5671,1086
