idx,density_label,crowding_label,crenation_flag,coverage_fraction,rouleaux_fraction,crenation_fraction,n_cells,n_isolated
165,slightly dense,heavy rouleaux,normal,0.5669182397959184,0.15677835843836457,0.0076726342710997444,3253,391
166,monolayer,heavy rouleaux,normal,0.47430854591836735,0.15962009803921567,0.023474178403755867,3264,426
167,monolayer,heavy rouleaux,normal,0.44399936224489794,0.1563489778289663,0.007125890736342043,3473,421
168,slightly dense,rouleaux,normal,0.583965306122449,0.14527363184079603,0.01680672268907563,3015,476
169,slightly dense,heavy rouleaux,normal,0.5612364795918368,0.16009629852542884,0.010917030567685589,3323,458
170,monolayer,rouleaux,normal,0.5428422193877551,0.14202810018326206,0.01859504132231405,3274,484
171,monolayer,some rouleaux,normal,0.5125903061224489,0.1363914373088685,0.017045454545454544,3270,528
172,monolayer,heavy rouleaux,normal,0.4250705357142857,0.1614795918367347,0.0037174721189591076,3920,538
173,sparse,heavy rouleaux,normal,0.4236456632653061,0.14843954891161815,0.008960573476702509,3813,558
174,monolayer,rouleaux,normal,0.42595382653061226,0.14352331606217616,0.008960573476702509,3860,558
175,sparse,slight rouleaux,normal,0.35973545918367344,0.12930011862396204,0.020123839009287926,3372,646
176,sparse,heavy rouleaux,normal,0.39007767857142855,0.1517150395778364,0.013215859030837005,3790,681
177,sparse,rouleaux,normal,0.37923533163265305,0.1452728670253651,0.01692524682651622,3903,709
178,sparse,heavy rouleaux,normal,0.41120433673469386,0.1515574151557415,0.008683068017366137,4302,691
179,monolayer,heavy rouleaux,normal,0.4251204081632653,0.16674057649667406,0.01624815361890694,4510,677
180,sparse,rouleaux,normal,0.39293647959183675,0.14587688734030196,0.013175230566534914,4305,759
181,dense,slight rouleaux,flagged,0.615741581632653,0.12332838038632987,0.05573770491803279,3365,610
182,very dense,rouleaux,normal,0.6504767857142857,0.14138499587798845,0.03367875647668394,2426,386
183,very dense,slight rouleaux,normal,0.6664878826530612,0.12522851919561243,0.019498607242339833,2188,359
184,dense,some rouleaux,normal,0.6244218112244898,0.13263707571801567,0.020338983050847456,1915,295
185,dense,rouleaux,normal,0.6241528061224489,0.14339218833600856,0.017543859649122806,1869,285
186,dense,rouleaux,normal,0.6252766581632653,0.141894925909295,0.04430379746835443,2227,316
187,very dense,slight rouleaux,normal,0.6314293367346939,0.1277602523659306,0.029411764705882353,2536,408
188,very dense,rouleaux,normal,0.6559246173469387,0.14285714285714285,0.03116883116883117,2569,385
189,dense,heavy rouleaux,normal,0.6279036989795919,0.15953716690042075,0.017241379310344827,2852,406
190,dense,rouleaux,normal,0.596441581632653,0.14628040057224606,0.011737089201877934,2796,426
191,slightly dense,rouleaux,normal,0.5672580357142857,0.14704010184595798,0.02109704641350211,3142,474
192,slightly dense,rouleaux,normal,0.5594239795918368,0.14665841584158415,0.016194331983805668,3232,494
193,monolayer,heavy rouleaux,normal,0.4469224489795918,0.14931650893796003,0.008333333333333333,2853,480
194,sparse,no rouleaux,normal,0.4002154336734694,0.11739469578783152,0.002066115702479339,2564,484
195,monolayer,some rouleaux,normal,0.47745880102040816,0.13709677419354838,0.005758157389635317,2976,521
196,monolayer,heavy rouleaux,normal,0.5037742346938775,0.15503649635036496,0.004024144869215292,3425,497
197,monolayer,rouleaux,normal,0.44733316326530614,0.14512471655328799,0.0,3087,459
198,monolayer,rouleaux,normal,0.4378456632653061,0.14518354954457632,0.007462686567164179,3623,536
199,monolayer,slight rouleaux,normal,0.533867219387755,0.12008733624454149,0.03498542274052478,5496,1372
200,dense,no rouleaux,normal,0.613490943877551,0.11813842482100238,0.03462837837837838,4190,1184
201,dense,slight rouleaux,normal,0.6193733418367346,0.12082976903336184,0.03918367346938775,4676,1225
202,dense,no rouleaux,normal,0.612913137755102,0.10200279459711226,0.02754399387911247,4294,1307
203,very dense,no rouleaux,normal,0.6511816326530612,0.11384876805437553,0.04133180252583238,3531,871
204,dense,no rouleaux,normal,0.5854118622448979,0.1141804788213628,0.03532875368007851,4344,1019
205,slightly dense,slight rouleaux,normal,0.5552156887755102,0.1192429022082019,0.044580419580419584,4755,1144
206,dense,no rouleaux,normal,0.619872193877551,0.11747430249632893,0.044745057232049947,4086,961
207,very dense,no rouleaux,normal,0.6619529336734694,0.11524676040805074,0.0423841059602649,3627,755
208,dense,slight rouleaux,normal,0.6139308673469388,0.1297650130548303,0.043941411451398134,3830,751
209,very dense,slight rouleaux,normal,0.6544156887755102,0.12923380466951662,0.041666666666666664,3041,576
210,very dense,some rouleaux,flagged,0.6630862244897959,0.1305393335623497,0.05991735537190083,2911,484
211,very dense,slight rouleaux,flagged,0.6640786989795918,0.1193058568329718,0.050100200400801605,2766,499
212,slightly dense,slight rouleaux,normal,0.5703735969387755,0.1293731778425656,0.035781544256120526,2744,531
213,dense,slight rouleaux,flagged,0.6225997448979592,0.12857142857142856,0.06591337099811675,2870,531
214,very dense,some rouleaux,normal,0.7050073979591837,0.1353898886032562,0.035175879396984924,2334,398
